run_id,mode,target_distance,repetition_index,current_x,current_y,current_z,current_magnitude,forward_command,desired_forward_velocity,desired_lateral_velocity,dvl_estimated_distance,pose_forward_displacement,pose_euclidean_displacement,absolute_error,percentage_error,lateral_drift,final_position_error,duration,sample_count,stop_reason,mean_forward_velocity_error,std_forward_velocity_error,mean_lateral_velocity_error,std_lateral_velocity_error,mean_abs_lateral_velocity_error,max_abs_lateral_velocity_error,mean_command_effort,max_command_effort,mean_dt,std_dt,dt_source
target_20m_current_y_0p5_rep_01,no_compensation,20.0,1,0.0,0.5,0.0,0.5,2.0,0.3,0.0,20.008883877741155,19.98908042907715,20.08836004660334,0.01980344866400685,0.09907133414301406,1.9947112477384508,1.9947411358077083,46.91443329999993,1408,target_reached,,,,,,,,,0.033343591542288505,0.00013205395187024937,wall_clock
target_20m_current_y_0p5_rep_01,dvl_velocity_compensation,20.0,1,0.0,0.5,0.0,0.5,2.0,0.3,0.0,14.324405562859608,14.38217544555664,14.39983380559183,0.057769882697032315,0.401676943211538,0.7129116929136217,5.6628787561098015,60.01856879999991,1801,timeout,0.06133388526867042,0.03983644663409322,-0.011508175296125956,0.037406519595170336,0.031298465260484694,0.1860397756099701,2.470766310031214,3.9975605307441704,0.03334364933333329,0.00010801334968875014,wall_clock
target_20m_current_y_0p5_rep_02,no_compensation,20.0,2,0.0,0.5,0.0,0.5,2.0,0.3,0.0,20.00417252309469,20.075925827026367,20.17563814914736,0.07175330393167556,0.3574096883496188,2.0033913529478014,2.0048295798585127,47.112623600000006,1414,target_reached,,,,,,,,,0.03334226723283794,0.00010371693476062757,wall_clock
target_20m_current_y_0p5_rep_02,dvl_velocity_compensation,20.0,2,0.0,0.5,0.0,0.5,2.0,0.3,0.0,14.339518180668598,14.289801597595215,14.308464025962323,0.04971658307338345,0.34791653847559434,0.7305566943250597,5.756742036816425,60.0175263000001,1801,timeout,0.06107685719332142,0.0401907403176614,-0.011478022966814732,0.03733405566508814,0.031336473604186114,0.14208129048347473,2.471270656655754,3.9984377519743743,0.033343070166666725,0.0001244611440656444,wall_clock
target_20m_current_y_0p5_rep_03,no_compensation,20.0,3,0.0,0.5,0.0,0.5,2.0,0.3,0.0,20.0089699154685,20.00355339050293,20.10290513569093,0.005416524965571767,0.027077813925516687,1.996157971676439,1.9961611343955832,46.9479374,1409,target_reached,,,,,,,,,0.03334370553977273,9.982077773767502e-05,wall_clock
target_20m_current_y_0p5_rep_03,dvl_velocity_compensation,20.0,3,0.0,0.5,0.0,0.5,2.0,0.3,0.0,14.313290807254639,14.321159362792969,14.339081262846724,0.007868555538330213,0.054943565244955535,0.7166909850202501,5.723886524976125,60.01718210000013,1801,timeout,0.061512644561007634,0.03951166536277885,-0.01151601095155911,0.037852471753252216,0.031778585221780606,0.1385554075241089,2.4501117474431116,3.999722101674287,0.033342878944444515,0.00010928995962077637,wall_clock
target_20m_current_y_1_rep_01,no_compensation,20.0,1,0.0,1.0,0.0,1.0,2.0,0.3,0.0,20.00269331150269,20.0158748626709,20.94410005556262,0.013181551168209182,0.06585548350320895,6.166042541153729,6.1660629765339205,49.084852800000135,1473,target_reached,,,,,,,,,0.03334568804347835,0.00013606206536841858,wall_clock
target_20m_current_y_1_rep_01,dvl_velocity_compensation,20.0,1,0.0,1.0,0.0,1.0,2.0,0.3,0.0,13.967193365719954,13.957830429077148,14.19300473684023,0.009362936642805408,0.06708017188187361,2.5730046974495053,6.567203841581534,60.0046569,1800,timeout,0.06724057116459284,0.040332694981946506,-0.04326172581580175,0.038548089658858434,0.04823306492368873,0.19044817984104156,2.6538555947064286,3.9971976839473116,0.033354450750416896,0.00021166730819565052,wall_clock
target_20m_current_y_1_rep_02,no_compensation,20.0,2,0.0,1.0,0.0,1.0,2.0,0.3,0.0,20.01148866364336,20.0158748626709,20.94410005556262,0.004386199027539561,0.021913601367081446,6.166042541153729,6.1660629765339205,49.0816265,1473,target_reached,,,,,,,,,0.03334349626358696,0.00010041864585734453,wall_clock
target_20m_current_y_1_rep_02,dvl_velocity_compensation,20.0,2,0.0,1.0,0.0,1.0,2.0,0.3,0.0,13.989996778589642,13.966012001037598,14.205683522900141,0.023984777552044534,0.17173676744844982,2.5984520660713315,6.5697004734837545,60.01902009999998,1801,timeout,0.06690887434395135,0.04062157489402692,-0.04233460436901623,0.03680650164557333,0.04709803441312942,0.1555773913860321,2.6441861229713988,3.9916381960670027,0.03334390005555554,0.00012162935142370667,wall_clock
target_20m_current_y_1_rep_03,no_compensation,20.0,3,0.0,1.0,0.0,1.0,2.0,0.3,0.0,20.004997229875467,20.029706954956055,20.958567688474215,0.02470972508058722,0.12336538490630869,6.1702835308387876,6.170355042792362,49.11347169999999,1474,target_reached,,,,,,,,,0.033342479090291914,0.00011342660958106803,wall_clock
target_20m_current_y_1_rep_03,dvl_velocity_compensation,20.0,3,0.0,1.0,0.0,1.0,2.0,0.3,0.0,14.02462798051132,13.95779800415039,14.196700536492303,0.06682997636093013,0.47880028311813977,2.593488191254437,6.5752859981011635,60.01987489999999,1801,timeout,0.0663353469869536,0.039894881322919705,-0.04211944744300025,0.036517409561564705,0.046432276044406535,0.17816203832626343,2.651032567885936,3.9988040032689653,0.03334437494444444,0.00011306052420329053,wall_clock
target_20m_current_y_2_rep_01,no_compensation,20.0,1,0.0,2.0,0.0,2.0,2.0,0.3,0.0,20.012415694285185,19.981443405151367,29.005352517769055,0.030972289133817554,0.15500526416341207,21.025042071938515,21.02505026091488,53.248976200000016,1598,target_reached,,,,,,,,,0.033343128490920484,0.00010334065701483049,wall_clock
target_20m_current_y_2_rep_01,dvl_velocity_compensation,20.0,1,0.0,2.0,0.0,2.0,2.0,0.3,0.0,10.50909387359911,10.563851356506348,17.21343013956602,0.05475748290723814,0.5183477224290234,13.590703502297401,16.5453353821996,60.01980470000001,1801,timeout,0.12490774294904745,0.03779690873588296,-0.22613759236203299,0.03724407805841949,0.22613759236203299,0.3457885682582855,2.8553936703956064,3.997564342997614,0.03334433594444445,0.00010562696258292456,wall_clock
target_20m_current_y_2_rep_02,no_compensation,20.0,2,0.0,2.0,0.0,2.0,2.0,0.3,0.0,20.010858854565534,20.019533157348633,29.0604381490389,0.008674302783099108,0.043329196115220125,21.064836993813515,21.064846050236646,53.34738480000004,1601,target_reached,,,,,,,,,0.033342115500000026,0.00011085729395154477,wall_clock
target_20m_current_y_2_rep_02,dvl_velocity_compensation,20.0,2,0.0,2.0,0.0,2.0,2.0,0.3,0.0,10.622859131667221,10.479419708251953,17.10497950572344,0.14343942341526805,1.3687725790991803,13.51895286142826,16.53491867416168,60.01849749999997,1801,timeout,0.12300645865913896,0.03845861327868307,-0.2264800877082679,0.03785995128027266,0.2264800877082679,0.3584232032299042,2.859688063528741,3.856707573835024,0.0333436097222222,0.0001127878986316238,wall_clock
target_20m_current_y_2_rep_03,no_compensation,20.0,3,0.0,2.0,0.0,2.0,2.0,0.3,0.0,20.007593086285894,20.0703182220459,29.133886626866797,0.06272513576000449,0.31252686213567427,21.11789943277836,21.118016504996206,53.481525499999975,1605,target_reached,,,,,,,,,0.033342596945137144,0.00012267682081848661,wall_clock
target_20m_current_y_2_rep_03,dvl_velocity_compensation,20.0,3,0.0,2.0,0.0,2.0,2.0,0.3,0.0,10.52742313122143,10.508993148803711,17.142551498673182,0.01842998241771987,0.17537343641543665,13.543564334511757,16.53805750179004,60.01836750000007,1801,timeout,0.12459533268637543,0.03891412589572202,-0.2269451710457603,0.035421240833346926,0.2269451710457603,0.34225621819496155,2.8586267604893427,3.923101994403412,0.03334353750000004,0.00011344393103255669,wall_clock
